farm;pig;sex;dtm;adg;mm;ar;lu;pn;epg5;worms;li;ar2
4;101;1;196;453;10;2.5;0;0;0;0;2;0
9;214;1;175;501;8;1.5;1;1;0;0;1;0
3;56;0;176;545;4;0;1;1;0;0;1;0
8;169;0;207;441;21;5;0;0;0;0;1;1
13;284;1;222;482;10;2.5;2;1;0;0;0;0
8;182;1;212;423;21;5;1;1;0;0;0;1
13;282;0;247;407;8;1;0;0;0;0;0;0
2;36;0;181;580;8;1;0;0;0;0;2;0
9;194;0;191;427;8;1.5;1;1;0;0;1;0
1;14;1;181;586;8;1.5;0;0;0;0;0;0
2;47;1;151;688;6;1.5;2;1;0;0;1;0
10;222;0;204;435;10;2.5;0;0;0;0;2;0
13;283;0;239;453;8;1;0;0;0;0;0;0
10;227;0;208;443;8;1;0;0;0;0;1;0
12;267;1;195;431;10;2;1;1;0;0;1;0
13;290;1;205;459;6;0.5;1;1;0;0;0;0
4;88;1;227;450;8;1.5;0;0;0;0;1;0
10;219;0;208;413;21;5;0;0;0;0;2;1
8;184;1;190;567;21;5;1;1;0;0;1;1
12;262;0;195;473;8;1.5;1;1;0;0;1;0
12;257;0;217;381;8;1;1;1;0;0;1;0
11;252;1;199;496;8;1;0;0;0;0;2;0
2;28;0;181;610;12;2.5;1;1;0;0;2;0
3;73;1;160;617;8;1;0;0;0;0;1;0
6;133;1;190;499;10;2.5;2;1;0;0;0;0
12;270;1;177;507;21;5;0;0;0;0;1;1
3;74;1;169;616;12;2;0;0;0;0;2;0
10;224;0;197;452;14;3.5;1;1;0;0;2;0
9;204;0;176;504;8;1;0;0;0;0;2;0
8;185;1;184;566;6;0.5;1;1;25;0;1;0
8;180;0;187;515;14;3;1;1;0;0;1;0
6;134;1;190;487;8;1.5;2;1;0;0;0;0
13;277;0;231;489;8;1;0;0;0;0;0;0
13;288;1;178;534;14;3;0;0;0;0;0;0
12;261;0;212;438;6;0.5;1;1;0;0;1;0
4;95;1;198;451;8;1;0;0;0;0;1;0
6;143;1;184;555;8;1.5;1;1;25;0;0;0
11;239;0;192;516;10;2;0;0;0;0;2;0
10;220;0;211;409;21;5;1;1;0;0;2;1
1;11;0;170;582;11;2;1;1;0;0;0;0
6;144;1;211;461;8;1;1;1;0;0;1;0
8;175;0;169;597;8;1;0;0;0;0;2;0
11;253;1;199;486;6;0.5;0;0;0;0;1;0
5;109;0;184;509;18;4.5;1;1;0;0;2;1
10;231;1;183;510;10;2;0;0;0;0;2;0
4;86;1;224;401;21;5;0;0;0;0;2;1
13;295;1;191;560;6;0.5;0;0;0;0;1;0
3;52;0;166;602;21;5;0;0;0;0;1;1
4;77;0;224;445;10;2.5;1;1;0;0;1;0
11;255;1;206;479;6;0.5;1;1;0;0;2;0
10;233;1;174;530;6;0.5;0;0;0;0;2;0
9;205;0;176;553;6;0.5;0;0;0;0;1;0
8;181;1;176;582;12;2.5;0;0;0;0;1;0
9;201;0;189;517;6;0;1;1;0;0;2;0
4;84;0;195;426;6;0;0;0;0;0;1;0
9;200;0;163;566;6;0.5;0;0;0;0;0;0
1;10;0;184;592;10;2;1;1;0;0;2;0
4;91;1;188;522;10;2;1;1;0;0;1;0
9;208;1;189;392;8;1;1;1;0;0;1;0
1;15;1;195;530;12;2;2;1;0;0;1;0
13;286;1;198;522;8;1.5;0;0;0;0;1;0
1;16;1;181;601;14;3.5;3;1;0;0;1;0
9;213;1;175;509;6;0;0;0;0;0;0;0
5;113;1;184;509;8;1.5;0;0;0;0;2;0
4;93;1;222;462;12;2.5;1;1;25;0;2;0
9;196;0;179;511;10;2;1;1;0;0;1;0
12;260;0;190;469;6;0.5;0;0;0;0;0;0
6;132;0;186;503;10;2;1;1;75;0;1;0
14;301;0;201;519;10;2.5;0;0;0;0;1;0
6;122;0;186;552;0;2;1;1;0;0;0;0
13;293;1;203;465;6;0.5;0;0;0;0;0;0
9;203;0;191;481;6;0.5;1;1;0;0;2;0
11;238;0;199;460;6;0.5;0;0;0;0;2;0
1;13;1;189;544;16;3.5;3;1;0;0;1;0
5;114;1;163;600;4;0.5;2;1;0;0;2;0
1;8;0;167;535;8;1;2;1;0;0;1;0
4;81;0;226;423;21;5;0;0;0;0;0;1
1;25;1;167;559;16;3.5;3;1;0;0;0;0
14;310;1;210;420;21;5;1;1;0;0;1;1
3;55;0;148;643;16;2.5;0;0;0;0;2;0
2;35;0;171;554;8;1;3;1;0;0;1;0
5;106;0;184;490;10;2;1;1;0;0;2;0
4;97;1;182;517;8;1.5;0;0;0;0;2;0
13;289;1;223;467;8;1.5;0;0;0;0;0;0
10;229;1;197;505;8;1;2;1;25;0;2;0
5;103;0;182;577;8;1.5;0;0;0;0;2;0
14;316;1;187;532;8;1.5;1;1;0;0;2;0
4;92;1;187;507;8;1.5;1;1;0;0;1;0
11;254;1;199;462;8;1.5;1;1;0;0;2;0
13;294;1;191;469;8;1;0;0;0;0;0;0
14;304;0;201;493;8;1;1;1;0;0;2;0
8;171;0;214;390;21;5;1;1;0;0;1;1
8;176;0;185;532;16;3.5;2;1;250;0;1;0
6;136;1;188;581;6;0.5;1;1;0;0;0;0
9;215;1;175;487;4;0.5;0;0;0;0;1;0
13;285;1;211;453;8;1.5;1;1;0;0;0;0
14;318;1;188;540;12;2.5;0;0;0;0;2;0
6;121;0;211;450;8;1.5;1;1;0;0;0;0
9;206;1;194;485;6;0;3;1;0;0;1;0
9;210;1;161;601;4;0;0;0;0;0;1;0
3;75;1;176;551;7;1;0;0;0;0;1;0
5;119;1;175;567;7;1;1;1;0;0;2;0
9;202;0;193;458;10;2;1;1;0;0;2;0
5;110;0;184;486;6;0.5;3;1;0;0;2;0
1;17;1;175;633;8;1.5;1;1;0;0;0;0
10;226;0;201;449;10;2.5;1;1;0;0;1;0
6;139;1;213;485;8;1;1;1;0;0;1;0
4;96;1;191;509;8;1.5;0;0;0;0;2;0
14;298;0;201;514;8;1.5;0;0;0;0;0;0
10;234;1;204;481;6;0.5;0;0;0;0;2;0
11;247;0;192;499;8;1.5;0;0;0;0;2;0
11;244;0;207;463;8;1.5;0;0;0;0;1;0
1;2;0;189;512;4;0;1;1;0;0;1;0
4;90;1;224;403;21;5;3;1;0;0;1;1
5;108;0;184;479;8;1.5;0;0;0;0;1;0
8;172;0;207;464;21;5;1;1;0;0;1;1
13;274;0;232;451;6;0;0;0;0;0;0;0
2;40;1;157;615;8;1.5;2;1;25;0;1;0
3;57;0;173;558;10;1.5;3;1;0;0;2;0
14;314;1;187;502;6;0;1;1;0;0;2;0
3;71;1;148;699;10;1.5;0;0;0;0;2;0
13;291;1;178;502;12;2;0;0;0;0;0;0
10;225;0;180;521;8;1;2;1;0;0;1;0
6;126;0;202;486;10;2;1;1;0;0;1;0
8;173;0;179;560;10;2;3;1;25;0;1;0
6;137;1;204;473;8;1;1;1;0;0;1;0
13;292;1;200;473;8;1;0;0;0;0;0;0
3;61;0;181;478;14;3.5;0;0;0;0;2;0
